Date,Username,Search,Tweet,language
2021-08-24 13:44:47,bthorizon,musica OR baile OR colegio,@tetasadiccion1 nos cambiamos al mismo colegio porfavor,es
2021-08-24 13:44:42,MarxistaAmigab1,musica OR baile OR colegio,"amigos, imaginad una banda de musica de un gallo, un gato, un perro, un burro y un humano",es
2021-08-24 13:44:42,MaximoS53624041,musica OR baile OR colegio,"@JosePaliza UN PROCURADOR INDEPENDIENTE: Crear Comisión de selección: Decanos de facultades de derecho, sociedad civil, colegio de abogados y notarios, suprema corte de justicia, consultor jurídico poder ejecutivo; para someter 6 elegidos al Congreso.",es
2021-08-24 13:44:39,juliiloaces_,musica OR baile OR colegio,"Convencí a la profe de poner música en un parlante en la clase, así que ahora estoy escuchando una Vaina loca empezando mi previa desde tempranito",es
2021-08-24 13:44:38,calela_patata,musica OR baile OR colegio,"@tanoproductor Bueh, va cayendo gente al baile... 🙄  https://t.co/4zcZrq6IaA",es
2021-08-24 13:44:34,laurazzalez,musica OR baile OR colegio,Un titular en el que el trabajo de una mujer queda eclipsado por comentarios de dos hombres que no aportan absolutamente nada. Dadle una vuelta a ver si os sigue importando la música o preferís el cotilleo.,es
2021-08-24 13:44:29,eleazaranthonio,musica OR baile OR colegio,Buena música y a limpiar todo el desastre!,es
2021-08-24 13:44:28,CelebresBot,musica OR baile OR colegio,"Hace un huevaco tiempo, sobre el año 858, el perro flauta entrenador pokémon Alberto Holland dijo: prefiero la música Indie antes que las canciones de Los Chichos",es
2021-08-24 13:44:25,fm_emm,musica OR baile OR colegio,Por qué no puede ser la vida una peli romàntica y que nos choquemos en el pasillo del insti y se me caigan los libros y me ayude a recogerlos del suelo y luego se presente y me acabe invitando al baile de fin de curso donde nos votan reyes del baile fastidiando a su ex animadora,es
2021-08-24 13:44:24,SrPleonasmo,musica OR baile OR colegio,"@___livetowin Modern talking es lo que me choca, porque de la música electrónica que yo escucharía, los evitaría (tortura musical parental 😅😂)",es
2021-08-24 13:44:23,Albagarnie,musica OR baile OR colegio,"Es increíble como lo de la mujer token se aplica en campos reales. Nos enseñan sólo a una. En ciencia Marie Curie, en pintura Frida Khalo, en filosofía Simone de Beauvoir, en música Clara Schumann. Ya está. No hay ninguna más.",es
2021-08-24 13:44:23,SouthSideGR50SK,musica OR baile OR colegio,"@MrSanickES Bueno te dejastes una muy importante (por lo menos para mi), la musica 💯",es
2021-08-24 13:44:23,MICHELL42826675,musica OR baile OR colegio,@lleguaconll Esta es tu ídola en el colegio y estafando  https://t.co/znRiuq2ZKj,es
2021-08-24 13:44:21,reqrley,musica OR baile OR colegio,estabamos hablando de duki en la cena y mi mamá dice Su música esta god NASHER,es
2021-08-24 13:44:20,fireheart7_,musica OR baile OR colegio,Juro que amo cuando los visten todos iguales o combinados parecen unos nenes que van al colegio usjsjs mis pibeess💖💖💖  https://t.co/DG53aBwfD5,es
2021-08-24 13:44:19,FranAraneda9,musica OR baile OR colegio,"Buen día, abriguense, desayunen y escuchen música. Así cubrimos las necesidades básicas del cuerpo y mente.  https://t.co/VmqlAzwyss",es
2021-08-24 13:44:17,vguegih,musica OR baile OR colegio,bueno chau me voy al colegio,es
2021-08-24 13:44:17,HoyxHoyMadrid,musica OR baile OR colegio,🧑‍🎤450 músicos cuentan con permiso del Ayuntamiento de Madrid para tocar en la calle.   🎤Salimos a la calle para escuchar su música y conocer mejor sus historias y su día a día.  En  https://t.co/r95xKEbRO4.  https://t.co/J8os8jNSuK,es
2021-08-24 13:44:14,ajaragoneses,musica OR baile OR colegio,"@nhudri81 Yo si no hubiera tenido que reducir mi boda al mínimo (11 en total, contandonos a nosotros, casarse en pandemia es lo que tiene) la habría puesto en el baile. Como un lento metalero me parece brutal.  Cuando celebremos bien el bodorrio, caerá. (Preciosa la historia de tus padres)",es
2021-08-24 13:44:12,marmi29,musica OR baile OR colegio,"@Jean_Luc2021 @SignoreOscuro4 @Daniel78Soy Los amo a todos. Tu y Toto mis amigos de parranda, música e historia.",es
2021-08-24 13:44:10,jsdemontfort,musica OR baile OR colegio,"“la música nos daba eso, un marco para vivir y respirar en un mundo contaminado, pero las canciones no pueden salvarnos eternamente” @fronterad @edieci6   https://t.co/pCeRc1HcEE",es
2021-08-24 13:44:10,unoporcientopc,musica OR baile OR colegio,"@GinebrasBanda Venga, aceptamos el reto y os tendemos un guante: cuándo vengáis a Galicia grabamos un episodio de nuestro podcast, hablamos de música y de lo que os salga del coño? Hay trato?",es
2021-08-24 13:44:10,Srita_Potts,musica OR baile OR colegio,Estoy escuchando | Hunting High and Low de Stratovarius | en Claro música  https://t.co/2NgIOp4lgx,es
2021-08-24 13:44:09,SebastianEliaas,musica OR baile OR colegio,Nada que un poco de musica no pueda solucionar,es
2021-08-24 13:44:06,sxociety1,musica OR baile OR colegio,"Díganme faitin, iré al colegio. Mutis nos vemos en la tarde",es
2021-08-24 13:44:02,marianaagustina,musica OR baile OR colegio,"Mañana se conmemora la declaratoria de la independencia, y hoy, 24 de agosto es la noche de la nostalgia, patrimonio nacional a esta altura, día en que TODOS pero absolutamente TODOS los lugares (bar,pub,restaurante,hotel,boliche) se pasa música retro.",es
2021-08-24 13:44:01,mimundoome,musica OR baile OR colegio,"La música es el arte más directo, entra por el oído y va al corazón. -Magdalena Martínez  #arte #musica #educacion #Entretenimiento #inspiracion #sonido  https://t.co/vzJuHzERbN",es
2021-08-24 13:43:57,PedruxMendoza,musica OR baile OR colegio,Busito en plena mañana con música rock? Que es esta rosa XDDD,es
2021-08-24 13:43:52,maript46,musica OR baile OR colegio,@Citytv Que idiotez de ley la propone una guerrillera que hacia abortos en el monte adolescentes. Pff cómo se nota q no sabe cómo funciona eso. El colegio no obliga a ir ni hacer deporte. Que ley tiene q haber🙄😠,es
2021-08-24 13:43:47,Mariang50808344,musica OR baile OR colegio,@rosal_blanco @AscoMalaga @PSOEaytoMalaga @RemediosRamos1 Ayer tuvo que limpiar la calle el mismo  colegio  https://t.co/G2TQHermJR,es
2021-08-24 13:43:44,ARPIARETIRADA,musica OR baile OR colegio,"⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Esta sentada en el suelo de la sala de estar separando CDs, cassettes y vinilos, todas las formas de escuchar música de anciano, en dos pilas: la de ella y la de Harry.  ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀❛ㅤ¡Mi amor! ❜  Se pone de pie, y camina hacia su niño para &gt;",es
2021-08-24 13:43:41,hunrikse,musica OR baile OR colegio,Yo leyendo a los padres estresados por la vuelta al colegio.  https://t.co/P2zEE3DhLE,es
2021-08-24 13:43:38,Fimvilaseca_,musica OR baile OR colegio,PortAutors/es y la feria de música emergente y familiar de Vila-seca (FIM) establecen un acuerdo de colaboración  https://t.co/CKT7VyY32q via @diari_mes,es
2021-08-24 13:43:38,Fabiifrannnc,musica OR baile OR colegio,es mejor si llueve para la hora del colegio:),es
2021-08-24 13:43:36,Jinserendipia,musica OR baile OR colegio,"Adivinen quien llego temprano al colegio Si, yo y aun no abren ajajakajajja  https://t.co/hDpxwHO8H2",es
2021-08-24 13:43:36,lisabtts,musica OR baile OR colegio,na vdd extremament,es
2021-08-24 13:43:36,otramorrachina,musica OR baile OR colegio,Arreglarme en las mañanas con música 📈📈📈,es
2021-08-24 13:43:33,GENTEDELAGENTER,musica OR baile OR colegio,Este colegio apenas habrio 😆,es
2021-08-24 13:43:30,irdcscence,musica OR baile OR colegio,cagaste colegio hoy no voy una mierda,es
2021-08-24 13:43:27,quinoa0,musica OR baile OR colegio,cómo pedirle educadamente a tu nuevo compañero de piso que baje la puta música sin que se note odio en tus palabras yahoo respuestas,es
2021-08-24 13:43:24,VidalYessica,musica OR baile OR colegio,Con un granito de arena ayudemos a este gran cantante y compositor de música venezolana.,es
2021-08-24 13:43:23,Carlitosmaster6,musica OR baile OR colegio,@yuuleeiidy06 Fifa Fortnite o F1 depende de cómo me levanté pero siempre con Música,es
2021-08-24 13:43:19,laumelzg,musica OR baile OR colegio,"Nea primera vez que mi perro se va al colegio y no lloró cuando se montó al transporte, estoy llorando yo más que él 😭",es
